cluster,n_cells,singleR_raw,singleR_mapped,singleR_delta,singleR_confident,singleR_correct,author_label,author_vocab
0,828,Hepatocytes,Hepatocyte,0.1277,True,True,Hepatocyte,Hepatocyte
1,707,Monocyte,Myeloid,0.0576,True,True,Myeloid,Myeloid
2,645,T_cells,T/NK,0.2189,True,True,T/NK,T/NK
3,594,Macrophage,Myeloid,0.184,True,True,Myeloid,Myeloid
4,510,T_cells,T/NK,0.2121,True,True,T/NK,T/NK
5,476,Hepatocytes,Hepatocyte,0.2085,True,True,Hepatocyte,Hepatocyte
6,441,Macrophage,Myeloid,0.2817,True,False,Hepatocyte,Hepatocyte
7,439,Endothelial_cells,Endothelial,0.2384,True,True,Endothelial,Endothelial
8,426,Plasma_cells,B/Plasma,0.0898,True,True,B,B/Plasma
9,420,Fibroblasts,Fibroblast,0.0501,True,True,Fibroblast,Fibroblast
10,419,Epithelial_cells,Epithelial,0.1401,True,False,Hepatocyte,Hepatocyte
11,390,Hepatocytes,Hepatocyte,0.2813,True,True,Hepatocyte,Hepatocyte
12,376,Hepatocytes,Hepatocyte,0.0938,True,True,Hepatocyte,Hepatocyte
13,357,Hepatocytes,Hepatocyte,0.4176,True,True,Hepatocyte,Hepatocyte
14,304,Macrophage,Myeloid,0.2765,True,True,Myeloid,Myeloid
15,258,Mast_cell,Mast,0.0683,True,False,Hepatocyte,Hepatocyte
16,232,T_cells,T/NK,0.0483,False,False,T/NK,T/NK
17,198,B_cell,B/Plasma,0.0924,True,True,B,B/Plasma
18,163,T_cells,T/NK,0.2155,True,True,T/NK,T/NK
19,154,Macrophage,Myeloid,0.2943,True,False,Hepatocyte,Hepatocyte
20,152,Hepatocytes,Hepatocyte,0.1203,True,True,Hepatocyte,Hepatocyte
21,145,NK_cell,T/NK,0.2488,True,True,T/NK,T/NK
22,131,Macrophage,Myeloid,0.0116,False,False,Myeloid,Myeloid
23,81,Macrophage,Myeloid,0.0076,False,False,Myeloid,Myeloid
24,22,Mast_cell,Mast,0.2916,True,False,Myeloid,Myeloid
